month	day	acre_feet
10	20	775497.2277
10	21	767722.7723
10	22	759948.3168
10	23	752173.8614
10	24	744399.4059
10	25	736624.9505
10	26	728850.495
10	27	721076.0396
10	28	713301.5842
10	29	705527.1287
10	30	697752.6733
10	31	689978.2178
11	1	682203.7624
11	2	674429.3069
11	3	666654.8515
11	4	658880.396
11	5	651105.9406
11	6	643331.4851
11	7	635557.0297
11	8	627782.5743
11	9	620008.1188
11	10	612233.6634
11	11	604459.2079
11	12	596684.7525
11	13	588910.297
11	14	581135.8416
11	15	573361.3861
11	16	565586.9307
11	17	557812.4752
11	18	550038.0198
11	19	542263.5644
11	20	534489.1089
11	21	526714.6535
11	22	518940.198
11	23	511165.7426
11	24	503391.2871
11	25	495616.8317
11	26	487842.3762
11	27	480067.9208
11	28	472293.4653
11	29	464519.0099
11	30	456744.5545
12	1	448970.099
12	2	441195.6436
12	3	433421.1881
12	4	425646.7327
12	5	417872.2772
12	6	410097.8218
12	7	402323.3663
12	8	394548.9109
12	9	386774.4554
12	10	379000
12	11	379000
12	12	379000
12	13	379000
12	14	379000
12	15	379000
12	16	379000
12	17	379000
12	18	379000
12	19	379000
12	20	379000
12	21	379000
12	22	379000
12	23	379000
12	24	379000
12	25	379000
12	26	379000
12	27	379000
12	28	379000
12	29	379000
12	30	379000
12	31	379000
